Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(12.0, 6.0), (9.0, 6.0), (3.0, 8.0), (10.0, 2.0), (6.0, 5.0), (8.0, 4.0), (8.0, 1.0), (4.0, 8.0), (7.0, 6.0), (8.0, 8.0), (5.0, 7.0), (9.0, 3.0), (5.0, 5.0), (1.0, 4.0), (4.0, 6.0)]
VICTIM position = [(5.0, 4.0), (1.0, 1.0), (3.0, 7.0), (10.0, 6.0), (2.0, 2.0), (11.0, 5.0), (7.0, 2.0), (4.0, 5.0), (9.0, 8.0), (3.0, 6.0), (1.0, 7.0), (6.0, 1.0), (5.0, 6.0), (10.0, 5.0), (9.0, 7.0), (12.0, 7.0), (3.0, 2.0), (12.0, 2.0), (8.0, 5.0), (11.0, 3.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          95        178           178                  9.88888888888889
2        15        20          268        555           733                  18.325
3        15        20          384        226           959                  16.25423728813559
4        15        20          397        36           995                  13.266666666666667
5        15        20          421        76           1071                  11.9
6        15        20          452        62           1133                  10.588785046728972
7        15        20          500        103           1236                  9.888
8        15        20          516        60           1296                  9.191489361702128
9        15        20          616        292           1588                  10.114649681528663
10        15        20          672        186           1774                  10.195402298850574
