Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(2.0, 5.0), (11.0, 8.0), (1.0, 2.0), (6.0, 7.0), (12.0, 6.0), (5.0, 4.0), (7.0, 3.0), (9.0, 2.0), (8.0, 5.0), (12.0, 3.0), (1.0, 8.0), (7.0, 1.0), (4.0, 2.0), (1.0, 1.0), (11.0, 4.0)]
VICTIM position = [(11.0, 1.0), (10.0, 6.0), (1.0, 7.0), (11.0, 7.0), (1.0, 4.0), (6.0, 8.0), (1.0, 5.0), (5.0, 7.0), (8.0, 2.0), (9.0, 3.0), (1.0, 3.0), (5.0, 3.0), (8.0, 4.0), (6.0, 2.0), (7.0, 7.0), (11.0, 2.0), (4.0, 3.0), (7.0, 8.0), (3.0, 2.0), (6.0, 6.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          55        127           127                  7.470588235294118
2        15        20          112        131           258                  7.818181818181818
3        15        20          175        117           375                  7.8125
4        15        20          296        263           638                  9.382352941176471
5        15        20          327        84           722                  8.698795180722891
6        15        20          360        76           798                  8.06060606060606
7        15        20          408        102           900                  7.758620689655173
8        15        20          459        84           984                  7.511450381679389
9        15        20          488        94           1078                  7.333333333333333
10        15        20          504        47           1125                  6.944444444444445
11        15        20          519        53           1178                  6.655367231638418
12        15        20          544        73           1251                  6.515625
13        15        20          593        90           1341                  6.478260869565218
