Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(7.0, 6.0), (1.0, 1.0), (7.0, 8.0), (12.0, 1.0), (5.0, 4.0), (9.0, 7.0), (4.0, 7.0), (4.0, 4.0), (1.0, 5.0), (6.0, 7.0), (5.0, 3.0), (2.0, 8.0), (10.0, 6.0), (4.0, 5.0), (2.0, 2.0)]
VICTIM position = [(3.0, 7.0), (4.0, 2.0), (11.0, 3.0), (10.0, 7.0), (1.0, 7.0), (11.0, 4.0), (7.0, 3.0), (5.0, 7.0), (8.0, 8.0), (7.0, 2.0), (2.0, 3.0), (6.0, 1.0), (2.0, 6.0), (11.0, 6.0), (8.0, 4.0), (10.0, 4.0), (2.0, 7.0), (10.0, 5.0), (9.0, 5.0), (4.0, 6.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          82        358           358                  21.058823529411764
2        15        20          113        320           678                  19.941176470588236
3        15        20          177        766           1444                  27.245283018867923
4        15        20          195        238           1682                  23.36111111111111
5        15        20          211        221           1903                  21.625
6        15        20          232        339           2242                  20.953271028037385
7        15        20          239        269           2511                  19.928571428571427
8        15        20          262        266           2777                  19.41958041958042
9        15        20          269        144           2921                  18.371069182389938
10        15        20          278        130           3051                  17.434285714285714
