Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(6.0, 4.0), (6.0, 6.0), (3.0, 8.0), (12.0, 8.0), (8.0, 6.0), (11.0, 5.0), (11.0, 8.0), (12.0, 5.0), (3.0, 6.0), (11.0, 6.0), (6.0, 1.0), (2.0, 1.0), (2.0, 2.0), (5.0, 2.0), (7.0, 2.0)]
VICTIM position = [(9.0, 4.0), (8.0, 1.0), (7.0, 7.0), (11.0, 3.0), (5.0, 5.0), (8.0, 8.0), (2.0, 3.0), (7.0, 1.0), (11.0, 2.0), (6.0, 5.0), (6.0, 8.0), (11.0, 4.0), (9.0, 2.0), (12.0, 6.0), (3.0, 2.0), (3.0, 3.0), (12.0, 4.0), (9.0, 6.0), (9.0, 5.0), (7.0, 8.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          34        69           69                  4.3125
2        15        20          90        127           196                  5.444444444444445
3        15        20          114        51           247                  4.8431372549019605
4        15        20          130        45           292                  4.358208955223881
5        15        20          169        68           360                  4.390243902439025
6        15        20          196        52           412                  4.247422680412371
7        15        20          232        81           493                  4.401785714285714
8        15        20          269        94           587                  4.622047244094488
9        15        20          273        26           613                  4.316901408450704
10        15        20          322        90           703                  4.477707006369426
