Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(9.0, 5.0), (11.0, 3.0), (12.0, 6.0), (9.0, 3.0), (9.0, 4.0), (1.0, 2.0), (5.0, 1.0), (7.0, 8.0), (12.0, 2.0), (2.0, 5.0), (10.0, 7.0), (11.0, 6.0), (8.0, 2.0), (11.0, 2.0), (3.0, 4.0)]
VICTIM position = [(8.0, 3.0), (4.0, 6.0), (3.0, 2.0), (11.0, 4.0), (12.0, 4.0), (2.0, 8.0), (1.0, 4.0), (11.0, 8.0), (10.0, 4.0), (6.0, 5.0), (2.0, 7.0), (6.0, 7.0), (4.0, 2.0), (2.0, 4.0), (5.0, 8.0), (7.0, 7.0), (12.0, 8.0), (5.0, 2.0), (9.0, 6.0), (3.0, 1.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          46        147           147                  9.8
2        15        20          73        94           241                  7.303030303030303
3        15        20          159        207           448                  8.784313725490197
4        15        20          216        158           606                  9.044776119402986
5        15        20          271        209           815                  9.476744186046512
6        15        20          289        98           913                  8.950980392156863
7        15        20          312        106           1019                  8.709401709401709
8        15        20          347        132           1151                  8.58955223880597
9        15        20          359        56           1207                  7.993377483443709
10        15        20          391        216           1423                  8.370588235294118
11        15        20          413        140           1563                  8.448648648648648
